prediction	error	relative_error	error_decile	abs_error_decile
12780.04669339718	-72.61114349768832	-0.005714067422381113	4	3
13113.468383726133	144.427682212965	0.010893710547634675	9	6
13471.862793919761	22.69397076882342	0.0016817129428220335	6	0
13824.709264556155	145.94347119572922	0.010446431813615237	9	6
14551.401402156202	-133.28795264262226	-0.009244479391103623	2	5
14855.770141039886	-133.58490402898497	-0.009073714389434431	2	5
15051.957921060917	-240.5061610300577	-0.01964998097449275	0	9
15265.372582639622	-240.5061610300577	-0.019241500049439617	0	9
15583.713280196593	-240.5061610300577	-0.01654765806779689	0	9
15704.203359550716	-237.61517432437904	-0.015363128020137545	0	9
15995.835001416664	-111.27160313080822	-0.007005014890293794	3	4
16118.528848030215	-225.19553826247466	-0.014169182378127925	0	9
16172.211902558734	-211.13655659135839	-0.013228216270823056	0	8
16365.246125455724	-209.4144350912611	-0.012962157510972244	0	8
16311.14045660969	-151.76809988775858	-0.009391955116661849	2	6
16403.369926753283	-138.06805895871366	-0.008488502708461227	2	5
16442.46259404019	-134.056452063267	-0.008220082998682085	2	5
16520.043391069346	-206.35348119930495	-0.012649099151655312	0	8
16494.418746895637	-129.50670662450284	-0.007913681803226923	2	5
16664.041278700315	-53.00304748291819	-0.003190832911534012	4	2
16645.040699332363	46.883211426968046	0.002808736229425772	7	1
16888.73902046957	-160.90775699191727	-0.00961916428121987	2	6
17145.254215098714	9.098741330893972	0.0005304042276618589	6	0
17214.65704781492	-19.49364325548231	-0.0011336701371685374	5	0
17353.40818997431	-60.31536820738256	-0.0034878300156616993	4	2
17338.058621796972	-18.645892924592772	-0.0010765892132998875	5	0
17479.50685221324	-113.97414751640099	-0.006563239346269782	3	4
17567.227374186325	-156.28029490089466	-0.008975978973988623	2	6
17612.61716143375	-139.76382623084646	-0.007998912573097693	2	5
17627.163399694546	-146.0286580740867	-0.008353499943365244	2	6
17654.662076035955	-132.51737928134753	-0.00756285155583106	2	5
17661.364380986608	-127.17855109564698	-0.007253176870000006	2	5
17751.19000259081	-167.9449350658324	-0.009551418661394587	1	6
17761.844273049956	-137.97986719152686	-0.007829149385968967	2	5
17756.877388936904	-128.89791306295228	-0.007312120668132435	2	5
17783.51531191666	-126.7252385226675	-0.00717713910602712	2	5
17907.141202335457	-127.43427414952748	-0.0071674001525586254	2	5
17865.394132078625	-8.255137601587194	-0.00046228780568602796	5	0
17991.366398682574	-42.34752599802232	-0.0023593226069012763	5	1
18220.695310272382	-226.25301928742192	-0.012573494395031764	0	9
18110.673010074843	-45.44603661339352	-0.0025156637489335497	5	1
18272.432946717858	-195.91518168149196	-0.010838104120940344	1	8
18136.30846951702	-53.0078050850243	-0.002931312489278312	4	2
18147.275620365064	-22.58078950338313	-0.001245857638658493	5	0
18174.988132907085	-35.33804311545464	-0.0019481105170458426	5	1
18171.72579379316	16.959338770018803	0.0009324114770482513	6	0
18344.561617706848	22.282604962394544	0.001213197253281665	6	0
18394.54677117316	-17.432733992955036	-0.0009486110799380948	5	0
18372.13608258233	13.171798280392977	0.0007164306611423957	6	0
18388.52533182336	11.987362169194967	0.0006514689220104519	6	0
18486.639121720375	71.38061415129778	0.003846348649652679	8	2
18476.2368082218	90.55965705765266	0.004877505779039605	8	3
18608.6548050322	83.60199303024638	0.004472546784126792	8	3
18608.05632842041	98.93817239316922	0.005288833136122766	8	4
18632.459917355158	115.37215429289427	0.006153893092917613	9	4
18591.561022795337	147.14626045264913	0.009997021742953655	9	6
18700.91969644514	86.82491729376125	0.004621359246615948	8	3
18731.891544145925	70.80982521706028	0.0037659389374995558	8	2
18731.81845776376	82.10385467780725	0.004363994562872853	8	3
18857.335209699766	55.371324226314755	0.0029277313708108515	7	2
18876.37240582183	57.22284601604406	0.003022291606792929	7	2
18930.99905886402	6.52404431470859	0.00034450356993167213	6	0
18834.495636223444	126.83727913659459	0.006689259647661547	9	5
18903.331227178467	62.5924923886887	0.0033002606840663385	7	2
18906.19170062465	63.832549351755006	0.003364916592124778	7	2
18896.97614417942	88.87313237972558	0.004681019589123815	8	3
18951.283785185395	105.55318805680145	0.005538861890092738	8	4
19005.744489020537	51.60399665721343	0.0027078266788265744	7	2
18972.292971499184	92.13987544297561	0.0048330771852861274	8	3
19080.28792777301	79.04804862905075	0.004125824022628535	8	3
19150.42011964207	74.18309511522602	0.003858758190560791	8	3
19182.884655202517	72.21455796959708	0.0037504121464196987	8	2
19193.17013513891	79.91388557639584	0.004146398443056748	8	3
19277.369992056327	28.39670913937516	0.0014708925876337465	6	1
19240.94844157775	72.03924607393856	0.00373009330503529	8	2
19262.503090728373	68.08968000935783	0.003522379309155519	7	2
19299.75450295203	43.54352968980311	0.002251091288379229	7	1
19329.971302756298	53.7239874042898	0.0027716070955552414	7	2
19399.636206662064	66.89652771793408	0.003436489108293414	7	2
19407.499255650837	65.36910563971833	0.0033569325497862105	7	2
19438.74013951674	61.4682375502598	0.003152183626024675	7	2
19481.616532666085	76.08999158753795	0.003890537548110681	8	3
19519.66501951986	48.65490965979552	0.0024864122129995875	7	2
19555.79107126179	80.36368495818533	0.004092638602409121	8	3
19563.92879027839	97.30172320601196	0.00494891319947034	8	4
19648.68716260643	43.04980323168638	0.0021861861808519286	7	1
19613.53815567912	119.85410153570047	0.0060736694418001055	9	4
19529.9469864735	147.14626045264913	0.010849021493917414	9	6
19652.27882370063	134.2727614846517	0.006786061780729154	9	5
19771.86136407282	109.3288252555758	0.005499108665750811	9	4
19812.978306150977	93.777230238411	0.004710824426762411	8	3
19850.939537399066	67.04012941273686	0.003365809712339551	7	2
19788.789415482803	147.14626045264913	0.0076537012723260035	9	6
19862.48289702712	136.92229608655543	0.006846318416194768	9	5
19919.83644417173	84.81990914438938	0.004240008308382113	8	3
19935.00019572398	78.63553318092454	0.003929097853387745	8	3
19928.046203739224	109.31910512676768	0.005455762443897599	9	4
19974.778008581263	79.73118491734931	0.003975723571594414	8	3
19945.68211470713	113.16272365451368	0.00564153741486125	9	4
19996.649984218566	72.2932846443473	0.0036022466990830934	8	3
20056.759243953347	20.35436389867391	0.0010138092704079463	6	0
20047.962559803294	74.297516555107	0.003692304754692987	8	3
20033.82662673615	88.6029310358208	0.0044031925062249415	8	3
20076.75585102134	56.368100903830054	0.002799769227986103	7	2
20120.251038186594	22.39763483776551	0.001111950826395592	6	0
20114.287828849498	32.20185155882427	0.0015983852308593155	7	1
20191.019579076747	-36.170792010110745	-0.001794644672964331	5	1
20152.07586225164	48.23783484834712	0.0023879745419632904	7	2
20165.165027324627	45.31550079513545	0.00224217829616104	7	1
20190.987304095408	22.498486585162027	0.0011130433819353887	6	0
20141.855423274435	82.38582815558402	0.004073617750666353	8	3
20212.479562275992	16.930742755965184	0.0008369370387308696	6	0
20235.736088265945	24.234809213539847	0.0011961917090687858	6	1
20319.82633113982	35.11745493901253	0.0017252543317280045	7	1
20335.62715591368	42.39990864660649	0.002080667991669555	7	1
20346.236707280543	45.72021444176062	0.0022420709604901957	7	1
20403.01881940271	35.86768084267533	0.001754874505626552	7	1
20479.34203830691	-1.0078802346688462	-4.921690538346624e-05	6	0
20463.11707740739	28.55728143073793	0.0013936041013857454	6	1
20483.69819124559	11.122621918329969	0.000542704033361729	6	0
20542.912646657496	0.47747482312479406	2.3242260420568846e-05	6	0
20622.00687868923	-42.6149596995856	-0.0020707589353144407	5	1
20606.38716543812	4.298322543549148	0.0002085482574587609	6	0
20620.213965858395	18.50814381109012	0.0008967679158012811	6	0
20613.24280544039	48.892524633422	0.002366286148666288	7	2
20682.74646957447	24.027212286520808	0.001160355188870804	6	0
20733.454901867513	-25.13021376303368	-0.0012135319559418187	5	1
20721.393620205046	0.9963642783623072	4.808153302338045e-05	6	0
20743.261869703965	-12.407914878654992	-0.0005985240601131594	5	0
20829.908075978947	-18.412854238416912	-0.0008847444185164601	5	0
20945.729365951876	-65.13696818938115	-0.003119498094142245	4	2
20955.804750553532	-63.86825013003909	-0.0030570765964535855	4	2
20962.695614477358	-69.54717559834899	-0.0033287072937715862	4	2
20996.377179663188	-21.142954084836674	-0.001007996089934185	5	0
21053.43975591635	-56.62602543138564	-0.0026968865923295373	4	2
21152.428269332686	-2.4066812765449868	-0.00011379096075741549	6	0
