ID,Turbine EXW,Transport,Customizations,Hub activities,Hub rental,Installation,Commissioning,Commissioning vessel,Installation vessel,Wind speed,Air density,Water depth,Country,Inflation,Project launch year NTP,Installation year,Distance from shore,Distance from hub,Number of units,Site area,Weather,Losses of production,Equity share
0,11682.44921739714,614.1340124225942,578.9392012574981,284.03536305509544,269.1957656514759,292.62198331774687,386.7279028108041,499.38007537259244,437.68169502452224,10.16,2.29,34.06,at,4.4,2023,2026,82.06,138.3,276,45,27,19,51
1,12497.802194531028,633.9272960286403,595.9289063738513,294.1340999901452,312.65635891134355,307.55992772899856,424.14188643971625,539.3582103396782,448.5214080705769,10.21,2.42,71.41,tm,4.58,2022,2029,68.05,82.28,70,81,31,20,100
2,12707.435549899492,644.5280506129245,600.2461040763374,296.3961502760793,315.2204838618028,310.1679890823127,427.59436945511965,541.9608313851594,450.5035320445837,8.54,2.33,71.28999999999999,cf,5.21,2021,2027,134.88,73.68,205,137,89,20,95
3,13257.896065939098,645.53016357653,618.2776989375878,304.5800715744899,318.6100954441321,316.13072688509214,440.99412357257887,589.9034349670047,459.2108471054323,8.57,2.37,79.63,ne,7.36,2023,2024,56.629999999999995,161.12,193,112,64,14,33
4,13430.604190896116,649.6346759492046,629.5538129622138,308.9235101987365,319.91687381296583,316.95982831600145,445.9951696360105,598.3662307775422,460.21717709061295,11.94,2.27,49.7,ua,3.96,2021,2024,53.72,178.2,140,114,93,11,66
5,13494.556764688585,670.7242839277405,634.624092357942,312.6927001733779,320.02812394261156,323.1109791973826,449.0438943106501,638.6830327066884,472.93594502114195,9.7,2.38,33.6,sg,4.01,2025,2027,66.35,125.55,53,200,57,19,39
6,13701.284277747061,682.9795421814981,640.0117855096953,323.4110416113733,320.34693401588515,323.4956002007325,449.1816441288611,642.4126371940908,475.5516082534616,8.51,2.3600000000000003,70.19,lk,6.46,2025,2024,117.81,147.17000000000002,293,294,90,13,34
7,13814.947041868374,684.9342866352586,673.2498069061533,325.57888876604306,320.55749262612784,327.4244403810301,452.18094616116434,656.3861715395533,479.4011989173998,10.52,2.27,74.99000000000001,kh,5.49,2024,2026,30.47,119.1,152,47,19,19,75
8,13970.652735751884,685.9864885693969,683.0746002939508,326.2992693879644,322.63223767773485,328.3786459815385,457.04325313377484,658.4992229937563,480.21680120342734,10.1,2.34,42.04,am,6.7,2022,2026,107.31,59.11,196,140,44,18,73
9,14035.511094494252,690.6648311159222,691.9238896325339,339.584265346184,330.0216404233395,338.20389796553087,458.61923167358975,661.8781121655338,483.311624165039,8.620000000000001,2.22,52.980000000000004,tt,4.0,2024,2026,117.52,73.45,225,208,46,14,30
10,14162.908294484885,693.2982443388701,702.8365282569507,343.3432004962991,330.27743877201476,340.4548300013122,462.7377615429622,673.2532955471897,492.2874075843496,10.9,2.41,64.42,md,4.279999999999999,2025,2028,59.36,78.6,125,211,69,15,42
11,14359.826303086607,693.505821313469,706.9342792654144,344.29158051455715,333.3234882334236,340.68083893472874,475.84949285772836,677.583780477922,493.696061440241,9.13,2.26,50.870000000000005,sa,3.67,2025,2023,111.18,72.17,259,100,40,10,30
